0.00,'po100','po-100'
0.10,'po100','po-100'
0.20,'po100','po-100'
0.30,'po100','po-100'
0.40,'po100','po-100'
0.50,'po100','po-100'
0.60,'po100','po-100'
0.70,'po100','po-100'
0.80,'po100','po-100'
0.90,'po100','po-100'
1.00,'po100','po-100'
1.10,'po100','po-100'
1.20,'po100','po-100'
1.30,'po100','po-100'
1.40,'po100','po-100'
1.50,'po100','po-100'
1.60,'po100','po-100'
1.70,'po100','po-100'
1.80,'po100','po-100'
1.90,'po100','po-100'
2.00,'po100','po-100'
2.10,'po100','po-100'
2.20,'po100','po-100'
2.30,'po100','po-100'
2.40,'po100','po-100'
2.50,'po100','po-100'
2.60,'po100','po-100'
2.70,'po100','po-100'
2.80,'po100','po-100'
2.90,'po100','po-100'
3.00,'po100','po-100'
3.10,'po100','po-100'
3.20,'po100','po-100'
3.30,'po100','po-100'
3.40,'po100','po-100'
3.50,'po100','po-100'
3.60,'po100','po-100'
3.70,'po100','po-100'
3.80,'po100','po-100'
3.90,'po100','po-100'
4.00,'po100','po-100'
4.10,'po100','po-100'
4.20,'po100','po-100'
4.30,'po100','po-100'
4.40,'po100','po-100'
4.50,'po100','po-100'
4.60,'po100','po-100'
4.70,'po100','po-100'
4.80,'po100','po-100'
4.90,'po100','po-100'
5.00,'po100','po-100'
5.10,'po100','po-100'
5.20,'po100','po-100'
5.30,'po100','po-100'
5.40,'po100','po-100'
5.50,'po100','po-100'
5.60,'po100','po-100'
5.70,'po100','po-100'
5.80,'po100','po-100'
5.90,'po100','po-100'
6.00,'po100','po-100'
6.10,'po100','po-100'
6.20,'po100','po-100'
6.30,'po100','po-100'
6.40,'po100','po-100'
6.50,'po100','po-100'